iter	Passed	Remaining
0	52	52114
1	124	62086
2	200	66638
3	257	64112
4	314	62514
5	362	60136
6	405	57564
7	467	57988
8	534	58879
9	615	60926
10	659	59281
11	700	57647
12	743	56472
13	785	55308
14	828	54423
15	889	54691
16	942	54522
17	997	54418
18	1057	54590
19	1105	54168
20	1152	53737
21	1205	53569
22	1251	53161
23	1312	53365
24	1379	53815
25	1454	54499
26	1521	54822
27	1571	54565
28	1613	54033
29	1654	53499
30	1694	52963
31	1760	53255
32	1805	52906
33	1847	52500
34	1888	52061
35	1932	51737
36	1979	51508
37	2022	51197
38	2066	50909
39	2113	50722
40	2161	50562
41	2210	50428
42	2255	50189
43	2298	49935
44	2343	49727
45	2385	49475
46	2433	49345
47	2474	49078
48	2513	48777
49	2555	48559
50	2597	48332
51	2640	48141
52	2678	47863
53	2717	47612
54	2768	47574
55	2828	47673
56	2918	48279
57	3038	49352
58	3155	50320
59	3224	50522
60	3274	50405
61	3317	50185
62	3358	49949
63	3405	49805
64	3457	49730
65	3513	49720
66	3565	49655
67	3620	49624
68	3672	49545
69	3713	49336
70	3761	49219
71	3808	49085
72	3857	48978
73	3913	48968
74	3965	48912
75	4017	48840
76	4060	48674
77	4110	48587
78	4160	48500
79	4214	48462
80	4263	48366
81	4334	48530
82	4385	48448
83	4440	48421
84	4506	48511
85	4618	49086
86	4686	49180
87	4751	49240
88	4816	49305
89	4875	49294
90	4927	49221
91	4980	49150
92	5024	49005
93	5067	48842
94	5136	48927
95	5226	49214
96	5316	49491
97	5392	49635
98	5446	49566
99	5498	49484
100	5571	49590
101	5641	49664
102	5726	49868
103	5779	49796
104	5841	49791
105	5907	49822
106	5958	49724
107	6003	49585
108	6052	49472
109	6097	49338
110	6141	49186
111	6196	49130
112	6356	49895
113	6444	50087
114	6509	50096
115	6562	50009
116	6614	49917
117	6665	49822
118	6714	49711
119	6769	49643
120	6824	49574
121	6890	49587
122	6952	49568
123	7001	49464
124	7050	49351
125	7110	49319
126	7210	49563
127	7290	49667
128	7344	49588
129	7387	49442
130	7442	49368
131	7503	49340
132	7588	49468
133	7660	49510
134	7710	49401
135	7760	49299
136	7807	49182
137	7879	49219
138	7938	49172
139	8046	49428
140	8225	50108
141	8310	50213
142	8379	50215
143	8493	50491
144	8563	50496
145	8622	50434
146	8689	50423
147	8749	50371
148	8806	50297
149	8869	50258
150	8923	50170
151	8972	50054
152	9021	49940
153	9072	49841
154	9128	49763
155	9196	49757
156	9269	49769
157	9338	49763
158	9401	49725
159	9460	49668
160	9510	49562
161	9568	49498
162	9617	49387
163	9666	49274
164	9714	49160
165	9758	49027
166	9811	48937
167	9857	48819
168	9904	48700
169	9950	48580
170	9997	48465
171	10046	48361
172	10093	48250
173	10145	48161
174	10195	48065
175	10241	47947
176	10286	47829
177	10331	47710
178	10378	47600
179	10426	47500
180	10472	47386
181	10517	47270
182	10565	47168
183	10609	47052
184	10653	46930
185	10696	46810
186	10744	46712
187	10798	46641
188	10847	46546
189	10894	46444
190	10939	46337
191	10981	46214
192	11024	46095
193	11066	45975
194	11106	45851
195	11161	45786
196	11209	45691
197	11252	45579
198	11294	45461
199	11334	45337
200	11375	45218
201	11418	45108
202	11462	45003
203	11506	44897
204	11553	44803
205	11597	44700
206	11647	44619
207	11692	44520
208	11737	44422
209	11781	44319
210	11831	44241
211	11876	44145
212	11925	44062
213	12017	44137
214	12073	44082
215	12122	43998
216	12172	43922
217	12230	43871
218	12308	43893
219	12355	43806
220	12398	43703
221	12445	43615
222	12490	43520
223	12543	43454
224	12593	43379
225	12642	43297
226	12696	43234
227	12743	43149
228	12787	43053
229	12832	42961
230	12877	42867
231	12917	42760
232	12958	42658
233	13001	42561
234	13043	42462
235	13088	42370
236	13132	42277
237	13181	42202
238	13223	42105
239	13265	42008
240	13307	41910
241	13348	41810
242	13391	41716
243	13444	41656
244	13494	41584
245	13550	41531
246	13603	41472
247	13645	41377
248	13683	41270
249	13767	41301
250	13828	41263
251	13878	41195
252	13929	41126
253	13972	41037
254	14014	40943
255	14064	40874
256	14107	40784
257	14153	40705
258	14193	40607
259	14233	40510
260	14276	40422
261	14316	40325
262	14372	40274
263	14462	40319
264	14511	40248
265	14556	40166
266	14610	40111
267	14662	40049
268	14704	39959
