,description
281,Our apartment has the luxury of a private keyed elevator that brings you right into the apartment. Gorgeous spacious 4 bedroom loft in the heart of Manhattan. 2000 SF+++. One block away from Bryant Park!!!! 5 minute walk to Time Square!! Central Park is a 10 minute walk! The Empire State Building is a 2 minute walk! My apartment has all the amenities you need. Amazing bars and restaurants near by. Our apartment is very quiet and cozy. The apartment is located right off of 5th and 6th ave! My place is very unique due to our prime location. My apartment is walking distance from every major attraction in New York City. My apartment also an elevator that will bring you right into the apartment! You’re free to use all the amenities of my apartment! I am available at all times via text/call. I am very hands on and I provide amazing service to all my guests. I’m happy to help at all times! Bryant park is a block away! Empire State Building is a couple of blocks away. Time square is a 5-10 mi
501,Renovated kitchen and bath with spacious living room. Conveniently located 2 blocks from the train station in this lovely neighborhood. Surrounded by all the best bars and restaurants. Real NYers live here!
519,"Centrally located (3 blocks from the Bud Light hotel/party scene @ the Intrepid, 2 blocks from the Superbowl action in Times Sq, easy westside commute to MetLife Stadium) spacious 1BR apartment. 5th Fl Walkup, faces street, tons of restaurants & bars Hell's Kitchen"
524,"Historic Victorian home in quiet landmark neighborhood. Subway is 200 meters from front door. 20 min subway ride to Union Square and 30 min ride to Midtown Manhattan. Beautiful original Victorian home. 5+ plus bedrooms, 2 full bathrooms, 2 powder rooms. Extra large eat-in kitchen. Formal living room and dining room. There is an enormous amount of space; very comfortable living room and dining room, large play room in the front of the house, a third floor with additional living space and bedrooms. Home could accommodate 2 families comfortably. Wireless Internet and digital music system. You will have the entire house to yourselves, including a rear yard and driveway for parking up to two cars comfortably. We will provide any assistance possible throughout your stay and, should you need, can provide you with a contact person in the neighborhood. We live in a beautiful part of Brooklyn, minutes to Prospect Park. We have two major subway lines (Q train and B Train) at the end of our stre"
588,"Close to some of NYC's hottest restaurants including: Waverly Inn, Cafe Cluny and Beatrice Inn. Landmarks such as 'Friends building', celeb spotting, Meatpacking District and more are walking distance. Heart of West Village, NY charm and ambiance abound with elegantly furnished, extremely comfortable and quiet space. The neighborhood of cobblestone streets, shopping, restaurants, lively bars will have you enthralled with the big apple. Ideal for couples, solo adventurers, and business travelers. Charming one bedroom in the heart of the West Village. The place will make you feel immediately at home in this modern yet inviting apartment complete with all the alluring comforts of city life. A serenely quiet space creates a hideaway from the bustling city. Amenities including: 46"" television (with cable, HBO, Netflix); Nespresso for the mornings or a midday pick-me-up; stove/oven for a dinner in; and washers/dyers if feeling ambitious, are all at your disposal. - WiFi - Television with cab"
598,"THIS IS NOT AN OVER NIGHT STAY! As a celebrity wardrobe stylist I've successfully dressed some really popular stars in entertainment including Nicki Minaj, Alicia Keys and many more. I work with some of the best photographers and we all have worked in the magazine and advertising business. THIS IS NOT AN OVER NIGHT STAY 4-6 Hour Photo Shoot! Professional Photography Team with experience in celebrity, fashion, editorial and beauty will give you the most outstanding photo shoots. The production includes Styling Wardrobe, MakeUp, Hair and Photographer. THE ADDRESS IS SUBJECT TO CHANGE BASED ON AVAILABILITY. Studio, changing room, glam area I am the wardrobe stylist who will be whipping your look into shape. ""Not An Overnight Stay""! This is a photo production booking. Max time 5 hours. Overnight Stay is not available. Please Download Uber. All are welcome to shoot. Male, Female or any gender. Examples of work and portfolio are on (URL HIDDEN)"
787,"Super light, bright, 1600+ sq ft corner loft located in the heart of Tribeca - huge windows, a massive chandelier, 3 quirky loft bedrooms & an eclectic art collection. Tribeca's best bars & restaurants on your doorstep. This 1600+ square-foot corner loft located in the heart of Tribeca features high ceilings and massive sun-drenched windows. An eclectic art collection, high-end designer furnishings, and personal accents make this home away from home a true feast for the eyes. The first floor hosts an open-layout kitchen / dining area / living space as well as a full bathroom and one bedroom. Two small loft bedrooms are accessible by separate staircases, one with an attached bathroom. Steps away from the best bars, restaurants, and shopping in Tribeca, Soho, and the West Village. Subways, The Odeon,"
812,"Upper East Side 1 bedroom/1 bathroom apartment with huge private patio available for rental Super Bowl weekend. Queen bed, full size couch, love seat, and queen air mattress sleeps up to 6. Full kitchen and living room. Avail 1/30-2/3 (negotiable) 600 sf private terrace facing South that you enjoy the Manhattan skyline from. Patio table and chairs that you can enjoy take out dinner on or lounge chairs to grab a quick nap. Easy access to East side subway stops that provide you with routes to all airports. Take subway to Port Authority or Penn Station for access to Meadowlands."
1095,"Newly renovated 2 bedroom 1-bathroom apt in Washington Heights, Looking for nice, clean, female tenant. The roommate you will be living with is a current Mailman student. Fully furnished, includes queen size bed. Utilities included."
1211,"Elegant 2-bed 2-bath triplex condo with a large private roof terrace with direct access from the unit. Bedrooms (one King, one Queen) with Empire State Building views. Gourmet Kitchen, over-sized windows and 10-foot ceilings. Elegant 2-bed 2-bath triplex condo with a large private roof terrace with direct access from the unit. Being a recent addition to the top of an existing 19th century brownstone in Chelsea, our home combines the best of historic charm and modern architecture. The 1,300 sq.ft (120 m2) condo boasts two luxurious bathrooms, a high-end gourmet kitchen, three-zone A/C temperature controls, recessed, dimmable lighting, oversized modern windows, white oak hardwood flooring, a high-end washer and dryer and an 800 sq.ft (75 m2) private roof terrace. You’ll enter into a spacious living room with an open kitchen, 10-foot ceilings and oversized windows. The kitchen is equipped with stainless steel appliances and Italian stone counter-tops. The first floor also has a full bat"
